mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 3|1281ms|1|1|1|1|1|1|1
MUTANT 1|1312ms|1|1|1|1|1|1|1
MUTANT 4|1299ms|1|1|1|1|1|1|1
MUTANT 2|1417ms|1|1|1|1|1|1|1
MUTANT 6|1348ms|1|1|1|1|1|1|1
MUTANT 7|1359ms|1|1|1|1|1|1|1
MUTANT 5|1421ms|1|1|1|1|1|1|1
MUTANT 8|1477ms|1|1|1|1|1|1|1
MUTANT 9|1311ms|1|1|1|1|1|1|1
MUTANT 10|1308ms|1|1|1|1|1|1|1
MUTANT 11|1331ms|1|1|1|1|1|1|1
MUTANT 12|1422ms|1|1|1|1|1|1|1
MUTANT 13|1362ms|1|1|1|1|1|1|1
MUTANT 14|1389ms|1|1|1|1|1|1|1
MUTANT 15|1380ms|1|1|1|1|1|1|1
MUTANT 16|1374ms|1|1|1|1|1|1|1
MUTANT 18|1337ms|1|1|1|1|1|1|1
MUTANT 17|1415ms|1|1|1|1|1|1|1
MUTANT 19|1430ms|1|1|1|1|1|1|1
MUTANT 20|1595ms|1|1|1|1|1|1|1
MUTANT 22|1563ms|1|1|1|1|1|1|1
MUTANT 21|1618ms|1|1|1|1|1|1|1
MUTANT 23|1758ms|1|1|1|1|1|1|1
MUTANT 24|1600ms|1|1|1|1|1|1|1
MUTANT 25|1494ms|1|1|1|1|1|1|1
MUTANT 26|1483ms|1|1|1|1|1|1|1
MUTANT 27|1579ms|1|1|1|1|1|1|1
MUTANT 28|1620ms|1|1|1|1|1|1|1
MUTANT 30|1606ms|1|1|1|1|1|1|1
MUTANT 29|1636ms|1|1|1|1|1|1|1
MUTANT 31|1645ms|1|1|1|1|1|1|1
MUTANT 32|1766ms|1|1|1|1|1|1|1
MUTANT 33|1816ms|1|1|1|1|1|1|1
MUTANT 34|1821ms|1|1|1|1|1|1|1
MUTANT 35|1858ms|1|1|1|1|1|1|1
MUTANT 36|1893ms|1|1|1|1|1|1|1
MUTANT 37|1583ms|1|1|1|1|1|1|1
MUTANT 38|1666ms|1|1|1|1|1|1|1
MUTANT 39|1497ms|1|1|1|1|1|1|1
MUTANT 40|1392ms|1|1|1|1|1|1|1
MUTANT 41|1421ms|1|1|1|1|1|1|1
MUTANT 42|1404ms|1|1|1|1|1|1|1
MUTANT 43|1369ms|1|1|1|1|1|1|1
MUTANT 44|1402ms|1|1|1|1|1|1|1
MUTANT 45|1400ms|1|1|1|1|1|1|1
MUTANT 46|1413ms|1|1|1|1|1|1|1
MUTANT 47|1405ms|1|1|1|1|1|1|1
MUTANT 48|1415ms|1|1|1|1|1|1|1
MUTANT 49|1407ms|1|1|1|1|1|1|1
MUTANT 50|1400ms|1|1|1|1|1|1|1
MUTANT 51|1408ms|1|1|1|1|1|1|1
MUTANT 52|1483ms|1|1|1|1|1|1|1
MUTANT 53|1439ms|1|1|1|1|1|1|1
MUTANT 54|1472ms|1|1|1|1|1|1|1
MUTANT 55|1418ms|1|1|1|1|1|1|1
MUTANT 56|1370ms|1|1|1|1|1|1|1
MUTANT 57|1402ms|1|1|1|1|1|1|1
MUTANT 58|1396ms|1|1|1|1|1|1|1
MUTANT 59|1408ms|1|1|1|1|1|1|1
MUTANT 60|1363ms|1|1|1|1|1|1|1
MUTANT 61|1545ms|1|1|1|1|1|1|1
MUTANT 62|1532ms|1|1|1|1|1|1|1
MUTANT 63|1531ms|1|1|1|1|1|1|1
MUTANT 64|1570ms|1|1|1|1|1|1|1
MUTANT 65|1420ms|1|1|1|1|1|1|1
MUTANT 66|1442ms|1|1|1|1|1|1|1
MUTANT 67|1428ms|1|1|1|1|1|1|1
MUTANT 68|1473ms|1|1|1|1|1|1|1
MUTANT 70|1386ms|1|1|1|1|1|1|1
MUTANT 69|1533ms|1|1|1|1|1|1|1
MUTANT 71|1480ms|1|1|1|1|1|1|1
MUTANT 72|1429ms|1|1|1|1|1|1|1
MUTANT 74|1448ms|1|1|1|1|1|1|1
MUTANT 73|1521ms|1|1|1|1|1|1|1
MUTANT 75|1431ms|1|1|1|1|1|1|1
MUTANT 76|1403ms|1|1|1|1|1|1|1
MUTANT 77|1354ms|1|1|1|1|1|1|1
MUTANT 78|1410ms|1|1|1|1|1|1|1
MUTANT 79|1413ms|1|1|1|1|1|1|1
MUTANT 80|1407ms|1|1|1|1|1|1|1
MUTANT 81|1371ms|1|1|1|1|1|1|1
MUTANT 82|1400ms|1|1|1|1|1|1|1
MUTANT 83|1405ms|1|1|1|1|1|1|1
MUTANT 84|1366ms|1|1|1|1|1|1|1
MUTANT 85|1394ms|1|1|1|1|1|1|1
MUTANT 86|1455ms|1|1|1|1|1|1|1
MUTANT 87|1338ms|1|1|1|1|1|1|1
MUTANT 88|1398ms|1|1|1|1|1|1|1
MUTANT 89|1426ms|1|1|1|1|1|1|1
MUTANT 90|1394ms|1|1|1|1|1|1|1
MUTANT 91|1428ms|1|1|1|1|1|1|1
MUTANT 92|1443ms|1|1|1|1|1|1|1
MUTANT 93|1449ms|1|1|1|1|1|1|1
MUTANT 94|1394ms|1|1|1|1|1|1|1
MUTANT 95|1393ms|1|1|1|1|1|1|1
MUTANT 96|1415ms|1|1|1|1|1|1|1
MUTANT 97|1340ms|1|1|1|1|1|1|1
MUTANT 98|1404ms|1|1|1|1|1|1|1
MUTANT 99|1377ms|1|1|1|1|1|1|1
MUTANT 100|1447ms|1|1|1|1|1|1|1
MUTANT 101|1446ms|1|1|1|1|1|1|1
MUTANT 102|1409ms|1|1|1|1|1|1|1
MUTANT 103|1412ms|1|1|1|1|1|1|1
MUTANT 104|1466ms|1|1|1|1|1|1|1
MUTANT 105|1387ms|1|1|1|1|1|1|1
MUTANT 106|1431ms|1|1|1|1|1|1|1
MUTANT 107|1424ms|1|1|1|1|1|1|1
MUTANT 108|1440ms|1|1|1|1|1|1|1
MUTANT 109|1384ms|1|1|1|1|1|1|1
MUTANT 110|1366ms|1|1|1|1|1|1|1
MUTANT 111|1391ms|1|1|1|1|1|1|1
MUTANT 112|1461ms|1|1|1|1|1|1|1
MUTANT 113|1408ms|1|1|1|1|1|1|1
MUTANT 114|1456ms|1|1|1|1|1|1|1
MUTANT 115|1418ms|1|1|1|1|1|1|1
MUTANT 116|1468ms|1|1|1|1|1|1|1
MUTANT 117|1445ms|1|1|1|1|1|1|1
MUTANT 118|1428ms|1|1|1|1|1|1|1
MUTANT 119|1395ms|1|1|1|1|1|1|1
MUTANT 120|1371ms|1|1|1|1|1|1|1
MUTANT 121|1371ms|1|1|1|1|1|1|1
MUTANT 123|1349ms|1|1|1|1|1|1|1
MUTANT 122|1434ms|1|1|1|1|1|1|1
MUTANT 124|1401ms|1|1|1|1|1|1|1
MUTANT 125|1443ms|1|1|1|1|1|1|1
MUTANT 126|1445ms|1|1|1|1|1|1|1
MUTANT 127|1419ms|1|1|1|1|1|1|1
MUTANT 128|1522ms|1|1|1|1|1|1|1
MUTANT 129|1459ms|1|1|1|1|1|1|1
MUTANT 130|1463ms|1|1|1|1|1|1|1
MUTANT 131|1463ms|1|1|1|1|1|1|1
MUTANT 132|1348ms|1|1|1|1|1|1|1
MUTANT 133|1374ms|1|1|1|1|1|1|1
MUTANT 135|1387ms|1|1|1|1|1|1|1
MUTANT 134|1467ms|1|1|1|1|1|1|1
MUTANT 136|1406ms|1|1|1|1|1|1|1
MUTANT 137|1369ms|1|1|1|1|1|1|1
MUTANT 138|1388ms|1|1|1|1|1|1|1
MUTANT 139|1417ms|1|1|1|1|1|1|1
MUTANT 140|1400ms|1|1|1|1|1|1|1
MUTANT 141|1390ms|1|1|1|1|1|1|1
MUTANT 142|1369ms|1|1|1|1|1|1|1
MUTANT 143|1409ms|1|1|1|1|1|1|1
MUTANT 144|1355ms|1|1|1|1|1|1|1
MUTANT 145|1444ms|1|1|1|1|1|1|1
MUTANT 146|1413ms|1|1|1|1|1|1|1
MUTANT 147|1442ms|1|1|1|1|1|1|1
MUTANT 148|1410ms|1|1|1|1|1|1|1
MUTANT 149|1475ms|1|1|1|1|1|1|1
MUTANT 150|1415ms|1|1|1|1|1|1|1
MUTANT 151|1466ms|1|1|1|1|1|1|1
MUTANT 152|1408ms|1|1|1|1|1|1|1
MUTANT 153|1411ms|1|1|1|1|1|1|1
MUTANT 154|1393ms|1|1|1|1|1|1|1
MUTANT 155|1397ms|1|1|1|1|1|1|1
MUTANT 156|1367ms|1|1|1|1|1|1|1
MUTANT 157|1356ms|1|1|1|1|1|1|1
MUTANT 158|1435ms|1|1|1|1|1|1|1
MUTANT 159|1427ms|1|1|1|1|1|1|1
MUTANT 160|1398ms|1|1|1|1|1|1|1
MUTANT 161|1372ms|1|1|1|1|1|1|1
MUTANT 162|1425ms|1|1|1|1|1|1|1
MUTANT 163|1354ms|1|1|1|1|1|1|1
MUTANT 164|1393ms|1|1|1|1|1|1|1
MUTANT 165|1370ms|1|1|1|1|1|1|1
MUTANT 166|1471ms|1|1|1|1|1|1|1
MUTANT 167|1446ms|1|1|1|1|1|1|1
MUTANT 168|1459ms|1|1|1|1|1|1|1
MUTANT 169|1479ms|1|1|1|1|1|1|1
MUTANT 170|1390ms|1|1|1|1|1|1|1
MUTANT 171|1378ms|1|1|1|1|1|1|1
MUTANT 172|1379ms|1|1|1|1|1|1|1
MUTANT 173|1385ms|1|1|1|1|1|1|1
MUTANT 174|1432ms|1|1|1|1|1|1|1
MUTANT 175|1431ms|1|1|1|1|1|1|1
MUTANT 176|1552ms|1|1|1|1|1|1|1
MUTANT 177|1492ms|1|1|1|1|1|1|1
MUTANT 178|1465ms|1|1|1|1|1|1|1
MUTANT 179|1489ms|1|1|1|1|1|1|1
MUTANT 180|1444ms|1|1|1|1|1|1|1
MUTANT 181|1406ms|1|1|1|1|1|1|1
MUTANT 182|1370ms|1|1|1|1|1|1|1
MUTANT 183|1426ms|1|1|1|1|1|1|1
MUTANT 184|1443ms|1|1|1|1|1|1|1
MUTANT 185|1359ms|1|1|1|1|1|1|1
MUTANT 186|1425ms|1|1|1|1|1|1|1
MUTANT 187|1363ms|1|1|1|1|1|1|1
MUTANT 188|1362ms|1|1|1|1|1|1|1
MUTANT 189|1435ms|1|1|1|1|1|1|1
MUTANT 190|1404ms|1|1|1|1|1|1|1
MUTANT 191|1416ms|1|1|1|1|1|1|1
MUTANT 192|1440ms|1|1|1|1|1|1|1
MUTANT 193|1379ms|1|1|1|1|1|1|1
MUTANT 194|1374ms|1|1|1|1|1|1|1
MUTANT 195|1432ms|1|1|1|1|1|1|1
MUTANT 196|1431ms|1|1|1|1|1|1|1
MUTANT 197|1428ms|1|1|1|1|1|1|1
MUTANT 198|1353ms|1|1|1|1|1|1|1
MUTANT 199|1430ms|1|1|1|1|1|1|1
MUTANT 200|1405ms|1|1|1|1|1|1|1
MUTANT 201|1359ms|1|1|1|1|1|1|1
MUTANT 202|1496ms|1|1|1|1|1|1|1
MUTANT 203|1424ms|1|1|1|1|1|1|1
MUTANT 204|1477ms|1|1|1|1|1|1|1
MUTANT 205|1497ms|1|1|1|1|1|1|1
MUTANT 206|1434ms|1|1|1|1|1|1|1
MUTANT 207|1407ms|1|1|1|1|1|1|1
MUTANT 208|1333ms|1|1|1|1|1|1|1
MUTANT 209|1365ms|1|1|1|1|1|1|1
MUTANT 210|1408ms|1|1|1|1|1|1|1
MUTANT 211|1364ms|1|1|1|1|1|1|1
MUTANT 212|1386ms|1|1|1|1|1|1|1
MUTANT 213|1411ms|1|1|1|1|1|1|1
MUTANT 214|1393ms|1|1|1|1|1|1|1
MUTANT 215|1330ms|1|1|1|1|1|1|1
MUTANT 216|1456ms|1|1|1|1|1|1|1
MUTANT 217|1436ms|1|1|1|1|1|1|1
MUTANT 218|1367ms|1|1|1|1|1|1|1
MUTANT 219|1368ms|1|1|1|1|1|1|1
MUTANT 220|1344ms|1|1|1|1|1|1|1
MUTANT 221|1449ms|1|1|1|1|1|1|1
MUTANT 223|1397ms|1|1|1|1|1|1|1
MUTANT 222|1442ms|1|1|1|1|1|1|1
MUTANT 224|1438ms|1|1|1|1|1|1|1
MUTANT 225|1400ms|1|1|1|1|1|1|1
MUTANT 226|1353ms|1|1|1|1|1|1|1
MUTANT 227|1344ms|1|1|1|1|1|1|1
MUTANT 228|1325ms|1|1|1|1|1|1|1
MUTANT 229|1339ms|1|1|1|1|1|1|1
