mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: tBhO5o3sjej3Q|5-2) should print 10 examples: pQSRnQxAtz3B9|6-3) should print 10 examples: T43UveaczZ8ds|7-4) should print 10 examples: msER7z5_sl-T_|8-5) should print 10 examples: 2BL-ovuAcLwZP|9-6) should print 10 examples: wWxKlO3oKRZtx|10-7) should print 10 examples: mScy8H8Xq6T4S|11-8) should print 10 examples: N0Uhcbuh4hp6N|12-9) should print 10 examples: CgjYc-6jjrDhH|13-10) should print 10 examples: FBz07p0DP24dS|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (136ms)
MUTANT 4|4519ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 1|4679ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|4673ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4523ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4493ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4518ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4717ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4659ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4673ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4594ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4619ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 14|4592ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 13|4674ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|4550ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|4399ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|4492ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|4387ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|4413ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|4439ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|4543ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|4730ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|4578ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|4689ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 27|5045ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|4993ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 29|5342ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|5197ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|5641ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|5708ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|5624ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|5698ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|2223ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|2766ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|6736ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 36|6879ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|6438ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|5862ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|5414ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|5463ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|5275ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|5288ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|4918ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|4851ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|5258ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|5270ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 51|4985ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 52|5067ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|5741ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|5971ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 55|5776ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 56|5528ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 58|2043ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 59|2016ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1467ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 61|1573ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1376ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|5736ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 60|5424ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 65|1360ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
