mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: yMlWjmARUhPGy|5-2) should print 10 examples: AMlF2C00F_Ae3|6-3) should print 10 examples: RB2FCaroJ0qjA|7-4) should print 10 examples: lDLHO2Qx21iSn|8-5) should print 10 examples: TEC8U3gVJpLfU|9-6) should print 10 examples: L-HLL-x_VUCdC|10-7) should print 10 examples: _QQazJbgPk7ID|11-8) should print 10 examples: JaStIwudOJgF2|12-9) should print 10 examples: VQfU19ToMtHxt|13-10) should print 10 examples: 2-ZiwasJYxgn9|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (133ms)
MUTANT 4|4224ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|4265ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 1|4366ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4545ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4608ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4565ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4917ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4904ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4956ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4817ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4624ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 13|4626ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|4798ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|4549ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|4553ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|4559ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|4525ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|4407ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|4394ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|4478ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|4598ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|4591ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|4616ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 27|4554ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|4601ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 29|4602ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|4611ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|4640ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|4606ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|4632ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|4576ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1405ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1316ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|4791ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 36|4828ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|4563ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|4701ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|4757ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|4748ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|4651ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|4574ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|4679ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|4752ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|4597ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|4459ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 52|4629ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 51|4750ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|4418ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 55|4398ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 56|4389ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|4784ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 58|1385ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 59|1370ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1242ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 61|1296ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1280ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|4930ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 60|4665ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 65|1392ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1455ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
