mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: IoXpboggSxGgI|5-2) should print 10 examples: bmFJChInUG8cI|6-3) should print 10 examples: x37gZPdkqka7w|7-4) should print 10 examples: 7DYWylW0rV4vE|8-5) should print 10 examples: Luz10x59sTpgj|9-6) should print 10 examples: LgADpxrWPMztt|10-7) should print 10 examples: X2hhvRoVtOZHL|11-8) should print 10 examples: HvyZzT07D7oeU|12-9) should print 10 examples: CorTJO6NzhKpH|13-10) should print 10 examples: hAKG1dYpyotau|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (137ms)
MUTANT 3|4231ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 1|4327ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|4375ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4494ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4491ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4532ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4662ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4633ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4647ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4724ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4578ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 13|4626ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|4603ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|4558ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
