mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: FrKbkIGrdbNCx|5-2) should print 10 examples: cZmMrTA4m6_x-|6-3) should print 10 examples: wEVNUFzvTYzki|7-4) should print 10 examples: shssIMR0F9zQh|8-5) should print 10 examples: p-dylfAo_BW3-|9-6) should print 10 examples: n2LvdS61jzwYm|10-7) should print 10 examples: NwwL_26A82p28|11-8) should print 10 examples: UQR3nfKTvKwu5|12-9) should print 10 examples: VnYSR2RtjtCsR|13-10) should print 10 examples: WFtQi0bwgC-rv|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (132ms)
MUTANT 1|4253ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|4309ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|4332ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4452ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4497ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4529ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4770ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4715ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4824ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4559ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4517ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 13|4517ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|4514ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|4530ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|4504ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|4562ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|4443ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|4479ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|4469ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|4471ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|4552ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|4527ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|4588ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 27|4611ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|4610ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
