mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 3x3Dh-WPZqRVT|5-2) should print 10 examples: Df5Ut7wsumyqK|6-3) should print 10 examples: BKo5mmIx_fIp3|7-4) should print 10 examples: G7d4QFBRXH41S|8-5) should print 10 examples: FO1EoSZZjBM3c|9-6) should print 10 examples: 7U_uOXRl5eK-N|10-7) should print 10 examples: 0ADMsxX3Es8KG|11-8) should print 10 examples: alde56q579tsB|12-9) should print 10 examples: 4toY61MDXJwFY|13-10) should print 10 examples: aMMMaja8pG7TH|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (133ms)
MUTANT 3|4926ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 1|4995ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|5006ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4484ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4473ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4534ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4705ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4746ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4706ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4498ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4597ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 13|4625ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|4708ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|4654ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|4445ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|4617ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|4440ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|4482ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|4809ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|4713ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|4826ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|4569ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|4508ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 27|4607ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|4638ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 29|4666ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|4581ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|4613ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|4661ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|4759ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|4740ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1531ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1408ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|5057ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 36|5250ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|5130ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|5067ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|5066ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|4925ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|4708ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|4735ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|4547ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|4597ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|4428ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|4373ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 51|4040ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 52|4099ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|4350ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|5020ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 55|4428ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 56|4328ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 58|1290ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 59|1300ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 61|1291ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1370ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1325ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|4888ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 65|1317ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 60|4548ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 66|1361ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|4423ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 68|4266ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|4337ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 69|4702ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 70|4729ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 72|4322ms|1|1|0|1|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 71|4671ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 73|4697ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|4556ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|4556ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|4624ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 77|4634ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|4757ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|4762ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 80|4725ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 81|4719ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 82|4696ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|4657ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|4597ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 85|4240ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 86|4191ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 87|4145ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 88|4196ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 89|4416ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 90|4500ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 92|4478ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
