mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 2zO9Wlaynzrq4|5-2) should print 10 examples: 3vhyvN8kg2NfZ|6-3) should print 10 examples: _h-OdlZHB2XAX|7-4) should print 10 examples: rtVHFFb8QPv1k|8-5) should print 10 examples: Z5TuS4RxbtAh4|9-6) should print 10 examples: Ug_fMJ_mZqXjG|10-7) should print 10 examples: 3S8b6-AYKoyzC|11-8) should print 10 examples: JFDetUS9dpvna|12-9) should print 10 examples: 7YUl8lMLiqP3n|13-10) should print 10 examples: YAoauHkVbEOdb|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)
MUTANT 4|4409ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 1|4517ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|4602ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4226ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4297ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4338ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4600ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4509ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4447ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4560ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 13|4414ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4485ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 14|4504ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|5353ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|5267ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|5379ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|4536ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|4684ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|4708ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|4627ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
