mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ByMj3aXYt|5-2) should print 10 examples: B1xfi2aXtY|6-3) should print 10 examples: By-fsnpQFt|7-4) should print 10 examples: rkGzjhp7Ft|8-5) should print 10 examples: ByXzinp7FK|9-6) should print 10 examples: r14zs2aQtt|10-7) should print 10 examples: HJHzi367Yt|11-8) should print 10 examples: S1IMo2p7Kt|12-9) should print 10 examples: SkDMo2pXYK|13-10) should print 10 examples: HkdGina7tF|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (155ms)|17-should decode worker
MUTANT 1|1432ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 3|1826ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|1829ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|1810ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|1694ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|1790ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|1923ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|1947ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|1944ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|1826ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 13|1499ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 14|1436ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 12|1942ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 15|1419ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 17|1390ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 16|1795ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1423ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 20|1536ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 22|1328ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 23|1553ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 24|1431ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 25|1420ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 26|1445ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 27|1931ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 29|1497ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 28|2008ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 30|1985ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|1441ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 32|1810ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|1410ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 34|1905ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 35|1845ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1378ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 36|1894ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 38|1452ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 40|1338ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
