mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ry2uoTmtF|5-2) should print 10 examples: Hyl2Oo6XFK|6-3) should print 10 examples: r1WhOoaXtK|7-4) should print 10 examples: Syf2djpQYK|8-5) should print 10 examples: BJQndsaQKt|9-6) should print 10 examples: H1Endo6XFt|10-7) should print 10 examples: rkS3do6QYF|11-8) should print 10 examples: BJLndoTQFK|12-9) should print 10 examples: ryw3_jpXYY|13-10) should print 10 examples: SJO3OiTXFY|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)|17-should decode worker
MUTANT 1|1458ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 3|1831ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|1892ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|1901ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|1696ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|1736ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|2039ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|1992ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|1987ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|1827ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 13|1429ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 14|1556ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 12|1954ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 15|1454ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 17|1461ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 16|1978ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1422ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1
MUTANT 20|1449ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 22|1416ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 23|1493ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 24|1433ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 25|1738ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 26|1698ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 27|1987ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 29|1481ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 28|1983ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 31|1517ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 30|1950ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|1559ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 32|1837ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|1947ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 35|1940ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1389ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 36|1934ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 38|1482ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 39|1867ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|1417ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 41|1919ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|1873ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|1924ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|1920ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|1973ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|2005ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|1349ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 50|1645ms|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0
MUTANT 51|1308ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 52|1416ms|1|1|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|1600ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|1476ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 55|1591ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 56|1452ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|1424ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 58|1287ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 59|1514ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 60|1499ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 61|1399ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1368ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1400ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|1571ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1439ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1577ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|1586ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 68|2080ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 69|2075ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 71|1502ms|1|1|0|1|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 70|2118ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 72|1957ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 73|2013ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|1981ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|1959ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|1609ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 77|2022ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|2030ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|1988ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 80|2122ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|1679ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 81|2141ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 82|2041ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|1611ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 85|1516ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 86|1554ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 87|1545ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 88|2008ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 91|1505ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 89|1971ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 93|1341ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 94|1351ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 92|2624ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 95|1420ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 96|1538ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 97|1480ms|1|1|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 98|1438ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 99|1633ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 100|1643ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 101|1653ms|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
MUTANT 102|1506ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 103|1933ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 104|1909ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 105|1942ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 106|1915ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 107|1992ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 108|2003ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 109|2059ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 110|1990ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 111|1986ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 112|1976ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 113|2025ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 114|2032ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 115|1773ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 116|1815ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 117|1448ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 119|1828ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 121|1933ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 118|2053ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 120|2065ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 125|1523ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0
MUTANT 122|1987ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 123|1961ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 124|1959ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 126|1987ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 127|1943ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|1912ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 129|1932ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|2035ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|1878ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|1936ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|2009ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 136|1806ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 134|1916ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 135|1978ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 137|1964ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 139|1527ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
