mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: gayVwe_SSWzOW|5-2) should print 10 examples: lAGAMJbX6P_B5|6-3) should print 10 examples: 28MVS0Bg1ilbO|7-4) should print 10 examples: RCGL4Aj5uTTXr|8-5) should print 10 examples: 06iFr1jvrXLRu|9-6) should print 10 examples: mBDBAX9rwjA_b|10-7) should print 10 examples: GuoHYx8MKvOaP|11-8) should print 10 examples: _yoR9-9pBkDeE|12-9) should print 10 examples: FYGqN9B_X9VxU|13-10) should print 10 examples: iAudgh0l85fg5|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (111ms)
MUTANT 3|3189ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|3207ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 1|3337ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|2930ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|3078ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|3053ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|3183ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|3127ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|3243ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|1488ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 11|3369ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 13|3216ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|3242ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|3155ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|3045ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|3073ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|3096ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|3115ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|3051ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|3083ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|3020ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|3178ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|3172ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|1460ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 27|3307ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 29|3073ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|3097ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|3232ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|3101ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|3064ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|3083ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 35|3176ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1337ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1311ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 36|3233ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|3112ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|3174ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|3162ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|3151ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|3109ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|3201ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|3226ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|3264ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|3018ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|2915ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 51|1197ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 52|1230ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 53|2558ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|2835ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 55|1640ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 56|1706ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
