mutant-id|timeToExecute|0-uuids with current time|1-uuids with time option|2-msec|3-exception thrown when > 10k ids created in 1ms|4-clock regression by msec|5-clock regression by nsec|6-explicit options product expected id|7-ids spanning 1ms boundary are 100ns apart
MUTANT 1|1262ms|1|1|1|1|1|1|1|1
MUTANT 3|1280ms|1|1|1|1|0|0|0|0
MUTANT 4|1422ms|1|1|1|1|0|0|0|0
MUTANT 6|1306ms|1|1|1|1|0|0|0|1
MUTANT 5|1354ms|1|1|1|1|0|0|0|0
MUTANT 7|1366ms|1|1|1|1|0|0|0|1
MUTANT 9|1059ms|1|1|1|1|0|0|0|1
MUTANT 8|1099ms|1|1|1|1|0|0|0|1
MUTANT 10|1105ms|1|1|1|1|0|0|0|1
MUTANT 12|1151ms|1|1|1|1|1|1|0|1
MUTANT 11|1239ms|1|1|1|1|0|0|0|1
MUTANT 13|1225ms|1|1|1|1|1|1|0|1
MUTANT 14|1184ms|1|1|1|1|1|1|0|1
MUTANT 15|1178ms|1|1|1|1|1|1|0|1
MUTANT 16|1199ms|1|1|1|1|1|1|0|1
MUTANT 17|1176ms|1|1|1|1|1|1|0|1
MUTANT 18|1189ms|1|1|1|1|1|1|1|1
MUTANT 19|1171ms|1|1|1|1|0|0|0|0
MUTANT 20|1204ms|1|1|1|1|1|1|0|0
MUTANT 21|1134ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 22|1174ms|1|1|1|1|1|1|0|0
MUTANT 23|1183ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 24|1221ms|1|1|1|1|1|1|0|0
MUTANT 25|1225ms|1|1|1|1|0|0|0|0
MUTANT 26|1195ms|1|1|1|1|1|1|0|0
MUTANT 27|1274ms|1|1|1|1|1|1|0|0
MUTANT 28|1266ms|1|1|1|1|0|0|0|0
MUTANT 29|1223ms|1|1|1|1|1|1|0|0
MUTANT 30|1203ms|1|1|1|1|1|1|0|0
MUTANT 31|1208ms|1|1|1|1|0|0|0|0
MUTANT 32|1157ms|1|1|1|1|1|1|0|0
MUTANT 33|1217ms|1|1|1|1|1|1|0|0
MUTANT 34|1227ms|1|1|1|1|0|0|0|0
MUTANT 35|1160ms|1|1|1|1|1|1|0|0
MUTANT 36|1218ms|1|1|1|1|1|1|0|0
MUTANT 37|1231ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1172ms|1|1|1|1|1|1|0|0
MUTANT 39|1232ms|1|1|0|1|0|0|0|0
MUTANT 40|1213ms|1|1|1|1|1|1|1|1
MUTANT 41|1227ms|1|1|1|1|1|1|1|1
MUTANT 42|1199ms|1|1|0|1|0|0|0|0
MUTANT 43|1157ms|1|1|0|1|0|0|0|0
MUTANT 44|1201ms|1|1|1|1|0|0|1|1
MUTANT 45|1253ms|1|1|1|1|1|1|1|1
MUTANT 46|1202ms|1|1|1|1|1|1|1|1
MUTANT 47|1216ms|1|1|1|1|1|1|0|0
MUTANT 48|1174ms|1|1|1|1|1|1|0|1
MUTANT 49|1188ms|1|1|1|1|1|1|0|1
MUTANT 50|1171ms|1|1|1|1|1|1|0|0
MUTANT 51|1204ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 52|1181ms|1|1|1|1|1|1|0|1
MUTANT 53|1170ms|1|1|1|1|1|1|0|1
MUTANT 54|1202ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 55|1213ms|1|1|1|1|1|1|0|1
MUTANT 56|1183ms|1|1|1|1|1|1|0|0
MUTANT 57|1188ms|1|1|0|1|0|0|0|0
MUTANT 58|1176ms|1|1|1|1|0|0|0|0
MUTANT 59|1166ms|1|1|1|1|0|0|0|0
MUTANT 60|1193ms|1|1|0|1|0|0|0|0
MUTANT 61|1197ms|1|1|1|1|1|1|0|1
MUTANT 62|1153ms|1|1|1|1|0|1|0|1
MUTANT 63|1165ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 64|1204ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1171ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1163ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 67|1290ms|1|1|0|1|0|0|0|0
MUTANT 68|1298ms|1|1|0|1|0|0|0|0
MUTANT 69|1353ms|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 70|1380ms|1|1|1|1|0|0|0|0
MUTANT 71|1356ms|1|1|1|1|0|0|0|1
MUTANT 72|1394ms|1|1|1|1|0|0|0|1
MUTANT 73|1416ms|1|1|1|1|0|0|0|1
MUTANT 74|1378ms|1|1|1|1|0|0|0|1
MUTANT 75|1475ms|1|1|1|1|0|0|0|1
MUTANT 76|1474ms|1|1|1|1|0|0|0|1
MUTANT 77|1267ms|1|1|1|1|0|0|0|1
MUTANT 79|1279ms|1|1|1|1|1|1|1|1
MUTANT 81|1305ms|1|1|1|1|1|1|1|1
MUTANT 78|1356ms|1|1|1|1|1|1|1|1
MUTANT 80|1474ms|1|1|1|1|1|1|1|1
MUTANT 83|1593ms|1|1|1|1|1|1|1|1
MUTANT 82|1655ms|1|1|1|1|1|1|1|1
MUTANT 84|1669ms|1|1|1|1|1|1|1|1
MUTANT 85|1628ms|1|1|1|1|1|1|1|1
MUTANT 86|1361ms|1|1|1|1|1|1|1|1
MUTANT 87|1364ms|1|1|1|1|1|1|1|1
MUTANT 88|1428ms|1|1|1|1|1|1|1|1
MUTANT 89|1615ms|1|1|1|1|1|1|1|1
MUTANT 90|1374ms|1|1|1|1|1|1|1|1
MUTANT 91|1395ms|1|1|1|1|1|1|1|1
MUTANT 92|1401ms|1|1|1|1|1|1|1|1
MUTANT 93|1302ms|1|1|1|1|1|1|1|1
MUTANT 95|1268ms|1|1|1|1|1|1|1|1
MUTANT 94|1339ms|1|1|1|1|1|1|1|1
MUTANT 96|1486ms|1|1|1|1|1|1|1|1
MUTANT 97|1554ms|1|1|1|1|1|1|1|1
MUTANT 98|1498ms|1|1|1|1|1|1|1|1
MUTANT 99|1538ms|1|1|1|1|1|1|1|1
MUTANT 100|1511ms|1|1|1|1|1|1|1|1
MUTANT 101|1408ms|1|1|1|1|1|1|1|1
MUTANT 102|1384ms|1|1|1|1|1|1|1|1
MUTANT 103|1387ms|1|1|1|1|1|1|1|1
MUTANT 104|1356ms|1|1|1|1|1|1|1|1
MUTANT 105|1361ms|1|1|1|1|1|1|1|1
MUTANT 106|1334ms|1|1|1|1|1|1|1|1
