mutant-id|timeToExecute|0-sha1 node|1-sha1 browser|2-v5|3-uuids with current time|4-uuids with time option|5-msec|6-exception thrown when > 10k ids created in 1ms|7-clock regression by msec|8-clock regression by nsec|9-explicit options product expected id|10-ids spanning 1ms boundary are 100ns apart
MUTANT 3|1316ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 4|1397ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 1|1508ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|1243ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 5|1336ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 7|1231ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 9|1051ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 8|1085ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 10|1120ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 11|1193ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 12|1196ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 13|1278ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 14|1181ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 15|1158ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 16|1148ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 17|1323ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 18|1196ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|1212ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 19|1229ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 21|1185ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 22|1220ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 23|1172ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 24|1218ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 25|1203ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 26|1268ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 27|1174ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 28|1175ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 29|1209ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 30|1234ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 31|1211ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 32|1204ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 33|1247ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 34|1221ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 36|1194ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 35|1265ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 37|1193ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1179ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 40|1129ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|1151ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 41|1264ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|1196ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 43|1163ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 44|1180ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|1197ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 47|1138ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 48|1128ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 46|1358ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|1208ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 50|1172ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 52|1157ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 51|1284ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 53|1252ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 54|1152ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 55|1209ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 56|1176ms|1|1|0|1|1|1|1|1|1|0|0
MUTANT 57|1225ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 58|1178ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 59|1126ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 60|1157ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 61|1209ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 63|1113ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1210ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 64|1236ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 65|1168ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1159ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 67|1186ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 68|1201ms|1|1|0|1|1|0|1|0|0|0|0
MUTANT 69|1245ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 70|1183ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 71|1440ms|1|1|0|1|1|1|1|0|0|0|0
MUTANT 72|1342ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 73|1225ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 74|1259ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 75|1164ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 76|1131ms|1|1|0|1|1|1|1|0|0|0|1
MUTANT 77|946ms|1|1|0|1|1|1|1|1|1|0|1
MUTANT 81|1140ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|1160ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|1180ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 80|1214ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|1348ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|1350ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 85|1364ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 82|1442ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 87|1182ms|1|1|1|1|1|1|1|1|1|1|1
