mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 3|1196ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 1|1221ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|1323ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 6|1281ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 5|1308ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 7|1381ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 9|1103ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 8|1174ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 10|1145ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 12|1151ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 11|1261ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 13|1257ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 14|1175ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 15|1176ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 16|1229ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 17|1186ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 18|1195ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|1175ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 20|1231ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 21|1184ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|1192ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|1219ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 24|1224ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 25|1231ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|1211ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|1197ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 29|1194ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 27|1635ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|1205ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 31|1192ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 32|1207ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 33|1173ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 34|1196ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 35|1172ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 36|1198ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 37|1195ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0
MUTANT 38|1174ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 39|1169ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 40|1196ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 41|1204ms|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|0|0
MUTANT 42|1180ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 43|1173ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 44|1196ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 45|1203ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 46|1189ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|0
MUTANT 47|1198ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 48|1234ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 49|1220ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 50|1161ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 51|1219ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 52|1209ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 53|1187ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 54|1180ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 55|1202ms|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1
MUTANT 56|1176ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 57|1197ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 58|1223ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
MUTANT 59|1249ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|1
